n,log_loss,brier_multiclass,top1_accuracy,top3_accuracy,ece,mean_entropy,year,model,train_target_year_min,train_target_year_max,elapsed_s
118190,0.8290832186225545,0.3311977958771706,0.7564176326254336,0.8933919959387427,0.012971763220117305,0.8696336714463916,2021,M3_pair,2018,2020,12.248468399047852
118190,0.7978696620983969,0.32461283429061977,0.762534901429901,0.899940773331077,0.008386220894696093,0.8311018920694669,2021,M4_full_pair,2018,2020,13.990688800811768
119101,0.805555480958737,0.3234688302796957,0.7611522993089899,0.8969781949773722,0.009593543554961063,0.8348688708263113,2022,M3_pair,2018,2021,18.73577356338501
119101,0.7782788179310367,0.31774994589616834,0.764947397586922,0.9018060301760691,0.008255952636105382,0.8062392318761887,2022,M4_full_pair,2018,2021,19.868714809417725
120330,1.1152894571956882,0.400068449979973,0.7195462478184991,0.8555638660350702,0.04671107997683786,0.8079266775166865,2023,M3_pair,2018,2022,20.09190559387207
120330,1.0985676117770162,0.3964067021959389,0.723402310313305,0.8597855896285216,0.04800551671443351,0.7775876330620458,2023,M4_full_pair,2018,2022,25.454405307769775
122065,0.8837061959197041,0.36066366014017365,0.7265227542702658,0.8912136976201205,0.026521950385190653,0.9436824397574342,2024,M3_pair,2018,2023,23.732672929763794
122065,0.8521353612016346,0.3536280908881384,0.7352066521935035,0.89821816245443,0.015733740726787508,0.9097219284526212,2024,M4_full_pair,2018,2023,30.117564916610718
128636,1.0171756262830856,0.403111814424382,0.712475512298268,0.8765819832706241,0.043671887436205994,0.8374000469342258,2025,M3_pair,2018,2024,27.03257656097412
128636,0.9834121021745554,0.4011160811518356,0.7145355887931839,0.8840915451351099,0.04960883365589971,0.7958216942560573,2025,M4_full_pair,2018,2024,33.01032495498657
