test_year,budget,truth_raps,m4_hits,m5_hits,m4_recall,m5_recall
2022,23681,4957,4529,4524,0.9136574541053056,0.9126487795037321
2023,25575,4649,4314,4317,0.9279414927941493,0.9285867928586793
2024,27139,3797,3591,3598,0.9457466420858572,0.9475902027916776
2025,28851,3933,3737,3732,0.9501652682430715,0.9488939740655988
