year,eligible_fields,truth_raps,hard_candidate_share,hard_recall,m4_threshold_matched,m4_candidate_share,m4_recall,recall_gain_pp
2021,103431,4271,0.20963734276957585,0.5734020135799579,0.03175585021556629,0.20963734276957585,0.9201592132989932,34.67571997190353
2022,104327,4957,0.22698821973218822,0.6277990720193666,0.026235236704020896,0.22698821973218822,0.9316118620133145,30.38127899939479
2023,105196,4649,0.24311760903456406,0.6842331684233168,0.021245225245359014,0.24311760903456406,0.9451494945149495,26.091632609163263
2024,106701,3797,0.2543462572984321,0.7548064261258889,0.019079710952622297,0.2543462572984321,0.9641822491440611,20.937582301817226
2025,111865,3933,0.2579090868457516,0.7932875667429443,0.013841894087850888,0.2579090868457516,0.9654207983727434,17.21332316297991
